neighbourhood,price
Humboldt Park,401
Near North Side,337
Logan Square,548
South Lawndale,112
Near North Side,599
Loop,253
Loop,291
Humboldt Park,88
Loop,267
South Lawndale,150
South Shore,273
Near North Side,95
Lake View,78
Near North Side,155
Near West Side,249
Washington Park,60
Lower West Side,612
Rogers Park,178
East Garfield Park,62
West Town,149
Avondale,125
Near North Side,120
Edgewater,119
Avondale,225
Lincoln Park,278
Logan Square,201
North Center,175
West Town,311
Lake View,150
Lake View,110
Garfield Ridge,100
Woodlawn,69
Lake View,225
Jefferson Park,84
Douglas,129
Loop,400
Calumet Heights,85
Loop,303
Belmont Cragin,109
Near North Side,223
West Town,93
South Deering,39
Washington Park,45
Washington Park,49
Norwood Park,110
Loop,323
Austin,228
South Shore,34
Near North Side,95
Rogers Park,
North Center,156
Austin,67
Lake View,1295
West Town,119
Washington Park,70
Pullman,179
West Ridge,526
Lake View,276
Near North Side,
Jefferson Park,69
Near North Side,135
Near North Side,272
Portage Park,66
Logan Square,239
Lower West Side,83
North Center,167
Washington Park,46
South Chicago,35
West Town,206
Washington Park,50
Irving Park,65
Irving Park,65
Mckinley Park,97
Englewood,25
West Englewood,25
Lake View,109
Near North Side,622
Near North Side,161
Near North Side,435
Near North Side,270
Near North Side,284
Uptown,125
Lake View,160
Lake View,110
Jefferson Park,68
North Center,300
Jefferson Park,80
West Town,236
Lincoln Park,241
Lake View,169
Portage Park,360
Albany Park,459
Near North Side,175
West Town,165
New City,77
Lake View,160
Edgewater,145
West Town,179
South Deering,150
Jefferson Park,61
Lake View,172
Lake View,130
Avondale,141
Morgan Park,110
Near North Side,150
Near West Side,84
Near West Side,329
West Ridge,320
West Ridge,197
Greater Grand Crossing,218
Near North Side,115
Near North Side,99
Loop,171
South Shore,300
Bridgeport,557
Edgewater,161
South Shore,30
Humboldt Park,101
Lake View,99
Logan Square,123
Dunning,129
Near West Side,150
Lake View,140
Lake View,274
Rogers Park,45
Lake View,364
West Town,246
Douglas,65
Lincoln Park,59
South Shore,28
Lake View,153
Edgewater,141
Humboldt Park,54
Woodlawn,121
South Shore,149
Lincoln Park,59
Logan Square,140
Lake View,
Hermosa,69
Lake View,132
Humboldt Park,49
Irving Park,
Loop,176
Greater Grand Crossing,33
Near North Side,279
Pullman,41
Near North Side,456
Grand Boulevard,288
Lake View,100
Logan Square,772
Norwood Park,80
Lake View,295
North Center,173
New City,30
Near North Side,262
Near West Side,
Near West Side,
Englewood,188
Loop,210
Rogers Park,266
Rogers Park,282
Lower West Side,392
Loop,188
Bridgeport,71
Lincoln Park,98
Portage Park,125
Rogers Park,101
Near North Side,627
Grand Boulevard,175
Loop,160
Logan Square,333
Mckinley Park,132
Jefferson Park,235
Grand Boulevard,267
South Lawndale,109
West Town,451
Loop,139
Loop,208
Lake View,187
Lake View,207
Near West Side,
Near West Side,60
Loop,189
Near West Side,405
West Town,249
Edgewater,128
Edgewater,399
Avondale,137
Lake View,
Lincoln Park,60
Greater Grand Crossing,320
South Chicago,
Near North Side,555
Near North Side,192
Near West Side,
Loop,185
Loop,201
Near North Side,380
Avondale,132
Near North Side,335
Near North Side,422
Near North Side,374
Near North Side,692
Near West Side,399
Near North Side,451
Near North Side,554
South Chicago,24
West Town,
West Town,
Woodlawn,60
Woodlawn,122
Loop,531
Loop,162
Woodlawn,69
Loop,189
Near North Side,
South Shore,52
Loop,189
Loop,223
Loop,186
Grand Boulevard,246
Loop,174
South Shore,55
Calumet Heights,99
Loop,120
Grand Boulevard,145
Near North Side,850
South Shore,55
West Town,345
Woodlawn,55
Near North Side,261
Loop,182
Loop,243
Bridgeport,118
Bridgeport,99
Bridgeport,94
Logan Square,65
Woodlawn,63
Bridgeport,114
Bridgeport,109
Bridgeport,106
Loop,214
Loop,187
Loop,248
Near West Side,169
Loop,193
Woodlawn,90
South Chicago,
South Chicago,
Portage Park,195
West Town,
Loop,214
Loop,194
Loop,202
Loop,125
Loop,446
Loop,186
Irving Park,78
Washington Park,60
Hermosa,200
Loop,235
Loop,242
Loop,214
Loop,184
Hyde Park,119
West Town,364
Grand Boulevard,85
Gage Park,114
Loop,166
Loop,
Avondale,147
Near West Side,104
Logan Square,75
Lake View,129
Loop,298
Grand Boulevard,109
Logan Square,
Near North Side,114
Logan Square,146
Near North Side,
Near West Side,300
Grand Boulevard,302
South Chicago,
Bridgeport,94
Bridgeport,113
Austin,127
South Chicago,
Loop,186
Loop,510
Loop,217
Near West Side,148
Near West Side,402
Loop,165
Near North Side,183
West Town,329
Loop,190
Loop,187
Loop,214
Loop,191
Near North Side,354
Bridgeport,109
South Chicago,
North Center,227
Lincoln Park,313
Loop,332
West Town,170
West Town,170
West Town,190
West Town,240
West Town,
West Town,
West Town,180
South Shore,533
Edgewater,440
West Town,318
Kenwood,130
Rogers Park,85
Near West Side,250
Loop,196
Near West Side,175
Near North Side,210
Lower West Side,53
South Shore,56
Near West Side,266
Near West Side,220
Loop,184
Near West Side,143
Loop,
Near West Side,220
Albany Park,94
Loop,179
Humboldt Park,125
Near West Side,256
Lincoln Park,200
Near West Side,482
Humboldt Park,159
South Shore,34
Loop,314
Loop,194
Near West Side,220
Near West Side,254
Near North Side,212
Loop,264
Loop,
Logan Square,232
Near West Side,266
Logan Square,184
Logan Square,204
Logan Square,242
Logan Square,135
Logan Square,140
Uptown,495
Uptown,316
Lincoln Park,415
Near West Side,256
Near West Side,256
Near West Side,241
Woodlawn,100
South Shore,44
Woodlawn,51
East Garfield Park,40
East Garfield Park,55
East Garfield Park,50
East Garfield Park,60
Near West Side,241
Near West Side,241
Near North Side,95
Near North Side,140
Irving Park,99
North Lawndale,372
North Center,122
Logan Square,161
Woodlawn,119
West Garfield Park,44
Lincoln Park,299
Near North Side,377
East Garfield Park,49
Logan Square,130
South Chicago,
Norwood Park,40
Lincoln Park,424
North Center,166
East Garfield Park,89
Logan Square,165
Lincoln Park,208
Lincoln Park,266
Lincoln Park,470
Norwood Park,44
Lake View,106
Logan Square,272
Dunning,73
Bridgeport,75
Lincoln Park,319
West Town,163
West Town,100
East Garfield Park,53
Near West Side,159
Kenwood,57
East Garfield Park,51
Kenwood,55
Kenwood,40
Near North Side,120
Ohare,165
Irving Park,47
Near North Side,110
Edgewater,135
North Center,125
Lake View,497
Greater Grand Crossing,72
Lower West Side,121
West Town,134
Rogers Park,129
Lincoln Square,115
Lake View,243
Lake View,116
Belmont Cragin,70
Lincoln Park,370
North Park,411
South Shore,234
Lincoln Park,446
Edgewater,139
Calumet Heights,86
North Center,199
East Garfield Park,80
Near North Side,110
Avondale,192
Near North Side,431
Near North Side,517
Lincoln Square,292
Belmont Cragin,150
Near North Side,145
North Center,450
South Shore,26
North Center,300
Lincoln Park,320
Lincoln Park,378
Lincoln Park,274
Lincoln Park,467
Loop,351
Near South Side,411
Near North Side,958
South Shore,25
West Town,1099
Humboldt Park,
Irving Park,
Logan Square,99
Near North Side,354
Lincoln Park,259
Irving Park,110
Armour Square,354
Near South Side,92
Loop,173
Loop,185
Loop,144
Loop,208
Near North Side,308
Near North Side,224
Lower West Side,52
Avondale,94
Englewood,38
Lake View,314
Near North Side,172
Near North Side,153
Loop,205
Near North Side,249
Ashburn,118
West Ridge,
Loop,214
North Lawndale,40
Montclare,75
Humboldt Park,
South Shore,50
Humboldt Park,96
Logan Square,199
Logan Square,1000
West Town,125
West Town,
Loop,360
Irving Park,876
Bridgeport,166
Humboldt Park,176
Loop,263
Irving Park,48
Lower West Side,55
Lower West Side,38
Woodlawn,47
Dunning,79
Dunning,69
Dunning,62
Dunning,
Dunning,74
North Center,93
Avondale,537
Near West Side,94
Greater Grand Crossing,356
North Park,49
West Town,301
Logan Square,135
Chicago Lawn,107
Lincoln Square,
North Park,44
Near West Side,66
Lower West Side,131
Near North Side,210
Lake View,105
Lower West Side,54
Lower West Side,54
Logan Square,13
Humboldt Park,127
Near North Side,180
Lincoln Park,209
Lake View,90
Hyde Park,175
East Garfield Park,54
East Garfield Park,66
Near West Side,54
Lake View,98
Douglas,128
East Garfield Park,54
West Town,44
West Town,202
Rogers Park,785
South Shore,34
Jefferson Park,275
Edgewater,275
Lake View,93
Near West Side,185
Avondale,126
Lake View,90
Rogers Park,123
Lake View,
Norwood Park,45
Rogers Park,138
West Town,132
Near West Side,160
Woodlawn,143
Near North Side,431
Near North Side,419
Logan Square,160
North Park,41
Near West Side,71
Near West Side,169
Near West Side,234
Near West Side,197
Near West Side,224
Near West Side,180
Near North Side,95
Near North Side,115
West Garfield Park,64
Logan Square,729
West Garfield Park,64
Lincoln Park,155
Near West Side,164
West Town,55
Near West Side,125
West Garfield Park,70
Woodlawn,130
Lower West Side,121
Irving Park,115
Near West Side,70
Near North Side,200
Near North Side,150
Near West Side,70
Near West Side,175
Near North Side,200
Greater Grand Crossing,153
Lake View,101
Woodlawn,98
Avondale,189
Humboldt Park,136
Logan Square,416
Uptown,89
West Town,239
Near West Side,75
Lake View,104
Irving Park,56
Irving Park,52
Irving Park,45
West Ridge,108
Uptown,95
Norwood Park,45
Lincoln Park,357
Kenwood,150
Near West Side,50
Lincoln Square,126
Near North Side,169
Albany Park,77
Albany Park,77
Near North Side,463
Lake View,993
Humboldt Park,
Portage Park,75
Near North Side,135
Lake View,546
Lake View,239
Woodlawn,154
East Garfield Park,186
Lake View,141
Douglas,66
Loop,325
Loop,324
Loop,632
Loop,496
Loop,302
Loop,282
Near North Side,115
Near North Side,
East Garfield Park,60
Lincoln Park,528
Lake View,93
West Town,254
Dunning,83
South Shore,143
Near North Side,205
Avondale,112
Garfield Ridge,160
Loop,250
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,62
Near West Side,54
West Town,354
South Shore,31
Near North Side,520
Rogers Park,114
Logan Square,102
East Garfield Park,54
East Garfield Park,54
East Garfield Park,54
East Garfield Park,54
East Garfield Park,54
Grand Boulevard,150
Lake View,106
West Town,110
Lake View,247
Lake View,99
Irving Park,98
Near North Side,253
Logan Square,125
West Town,807
Near North Side,120
West Town,273
Near West Side,300
Lake View,250
Lincoln Park,400
Near North Side,236
Near North Side,265
Near North Side,338
Lower West Side,91
Logan Square,
Loop,165
Near West Side,277
Rogers Park,106
Logan Square,545
Rogers Park,281
West Town,100
Lake View,332
Near West Side,54
Irving Park,140
Logan Square,174
Albany Park,120
Lake View,95
Near North Side,738
South Shore,652
Auburn Gresham,321
Avondale,153
Douglas,89
Douglas,107
Douglas,101
Austin,125
East Garfield Park,54
Douglas,105
West Town,730
Near North Side,942
Humboldt Park,49
West Town,200
South Lawndale,236
Near West Side,66
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,54
Near West Side,54
Kenwood,214
Lake View,156
Lake View,147
Lake View,161
Lake View,180
Lake View,226
Lincoln Park,360
East Garfield Park,57
North Center,119
Lake View,234
Near South Side,202
Woodlawn,161
Near North Side,1600
Englewood,36
Near South Side,222
Lake View,230
Near North Side,135
Lake View,495
South Shore,192
Lincoln Park,250
Near South Side,261
Near South Side,
Albany Park,61
Logan Square,141
Near North Side,79
West Town,494
Near North Side,449
West Town,169
Near South Side,414
Lake View,
Loop,310
Hermosa,130
Loop,210
Lincoln Park,288
North Center,139
Bridgeport,179
Logan Square,260
Logan Square,117
Near North Side,125
Lincoln Park,253
Uptown,229
Lake View,525
Near North Side,174
Loop,239
Loop,176
Near North Side,195
Near North Side,189
Logan Square,338
Near North Side,193
Edgewater,893
Edgewater,188
Edgewater,160
Edgewater,203
Edgewater,188
Edgewater,230
Hermosa,100
West Town,499
Near West Side,230
Near North Side,246
Near North Side,184
Near North Side,242
Near North Side,230
Rogers Park,90
Irving Park,160
West Town,299
Greater Grand Crossing,150
Loop,463
Loop,316
Loop,495
Lake View,187
Loop,369
Loop,256
Kenwood,193
Near North Side,155
Near North Side,248
Douglas,
Hermosa,120
Logan Square,230
Woodlawn,186
Rogers Park,34
Irving Park,258
Lake View,135
Lincoln Square,187
Near West Side,520
Irving Park,180
Near North Side,127
Near North Side,241
Near North Side,143
Austin,133
Loop,242
Near North Side,219
Near North Side,209
Near North Side,252
Loop,185
Near North Side,220
Near North Side,150
Near West Side,406
Near North Side,318
Near North Side,400
Near North Side,443
Lincoln Park,308
Near North Side,556
Loop,227
Near North Side,523
Near North Side,330
West Town,211
Near North Side,104
Douglas,100
Rogers Park,86
Lower West Side,141
Loop,276
Near West Side,209
Near West Side,300
Near North Side,229
Loop,209
Near North Side,209
Loop,265
Avondale,96
West Ridge,149
Lake View,829
Montclare,71
Loop,245
Near North Side,240
Near North Side,533
Near West Side,245
Near North Side,265
Near West Side,225
Douglas,400
Lake View,200
Near North Side,405
Uptown,75
Lake View,137
Near North Side,305
Near North Side,523
Lake View,78
Lake View,802
Rogers Park,101
Near North Side,150
East Garfield Park,54
East Garfield Park,54
East Garfield Park,54
Near West Side,54
Lower West Side,54
Lower West Side,54
Lower West Side,66
Lincoln Park,413
West Town,150
West Town,113
Lake View,199
Montclare,62
Uptown,102
North Center,230
North Center,184
Lake View,117
Lower West Side,167
Irving Park,185
Irving Park,125
North Center,165
East Garfield Park,112
Loop,265
Near North Side,500
Loop,385
Near West Side,310
Armour Square,267
Loop,265
Albany Park,172
Mckinley Park,
Irving Park,212
Lincoln Park,364
Dunning,125
Near North Side,254
Lower West Side,131
Near South Side,282
West Town,128
Humboldt Park,52
Lake View,104
Near West Side,191
Lincoln Park,113
Logan Square,161
Near North Side,680
Logan Square,163
Lincoln Park,614
Loop,244
Lake View,75
Norwood Park,39
Grand Boulevard,98
Near West Side,115
Near North Side,175
Logan Square,530
Portage Park,85
Lake View,77
Grand Boulevard,181
Lake View,950
North Center,208
Lake View,147
Lake View,244
Logan Square,289
Loop,230
Near North Side,283
Woodlawn,45
Near North Side,176
Washington Park,227
West Town,895
Lake View,96
Lake View,957
West Town,264
Near North Side,275
West Ridge,65
Logan Square,141
Near North Side,1946
Norwood Park,39
Hyde Park,89
Norwood Park,42
Loop,244
Logan Square,237
Lake View,209
Lake View,164
Lake View,
Near North Side,200
Near North Side,255
Near North Side,449
Rogers Park,171
West Town,325
Near North Side,400
Avondale,172
Near North Side,105
Belmont Cragin,268
Norwood Park,48
Humboldt Park,51
Near North Side,385
Humboldt Park,51
Humboldt Park,58
Near North Side,285
Oakland,174
Near North Side,220
Near North Side,443
Lincoln Park,693
Near North Side,523
Near North Side,436
Near North Side,431
Lincoln Park,
Uptown,194
South Chicago,150
East Garfield Park,42
Near North Side,200
Lake View,225
Lake View,159
Logan Square,133
Irving Park,130
Near West Side,82
Portage Park,182
West Town,157
Kenwood,42
Near West Side,217
West Town,50
West Town,50
West Town,55
West Town,50
West Town,40
West Town,40
West Town,40
West Town,55
West Town,50
West Town,55
West Town,50
West Town,40
West Town,40
West Town,50
West Town,50
West Town,55
Uptown,193
West Pullman,100
Lake View,190
Near West Side,449
West Pullman,35
Uptown,70
Lower West Side,90
Near South Side,1000
Washington Park,175
Loop,241
Uptown,123
Woodlawn,
Avondale,182
Lake View,341
Humboldt Park,150
Douglas,154
Loop,248
Woodlawn,45
Morgan Park,193
Near South Side,201
Near North Side,78
Lincoln Square,116
Lincoln Square,139
Loop,389
West Pullman,36
Grand Boulevard,120
Logan Square,101
West Town,50
Uptown,
Near North Side,198
Lower West Side,76
Logan Square,61
Logan Square,54
Logan Square,54
Edgewater,245
Woodlawn,83
East Garfield Park,66
Lincoln Square,174
Lincoln Park,331
West Town,1383
Uptown,88
North Center,250
Lower West Side,140
Lake View,425
Lincoln Park,161
Logan Square,196
Lake View,314
West Town,364
Austin,150
Mckinley Park,38
Mckinley Park,1000
Mckinley Park,35
Near South Side,238
West Englewood,55
Loop,239
Loop,245
West Town,40
West Town,40
West Town,40
West Town,42
West Town,50
Near North Side,650
Lincoln Park,180
Near West Side,54
Near West Side,54
Loop,149
Logan Square,94
Douglas,
North Center,260
Near West Side,148
Near West Side,167
Near West Side,
Near West Side,144
Douglas,128
Near North Side,268
Albany Park,142
Uptown,711
West Town,95
West Town,170
Mckinley Park,38
Greater Grand Crossing,65
Greater Grand Crossing,51
Loop,
Loop,298
East Garfield Park,190
Brighton Park,82
Irving Park,100
Near North Side,392
Uptown,129
Near West Side,92
Lincoln Park,592
Lincoln Park,410
Lincoln Park,335
North Center,171
Montclare,65
West Town,220
Lower West Side,90
Loop,350
Loop,
Logan Square,255
Mckinley Park,37
Avondale,211
Near West Side,232
Logan Square,211
Belmont Cragin,186
Lake View,183
Near North Side,199
Logan Square,157
Near North Side,207
Near North Side,270
Near West Side,203
Greater Grand Crossing,77
Pullman,170
Logan Square,357
Irving Park,237
West Town,89
West Town,345
West Garfield Park,960
Beverly,160
Washington Park,151
Loop,265
West Town,129
Lincoln Square,150
Near North Side,86
Near North Side,229
Near North Side,165
Lake View,307
Near North Side,637
Near North Side,275
Near North Side,358
Near West Side,111
South Shore,60
Calumet Heights,90
Avondale,77
Logan Square,125
Lake View,192
East Garfield Park,202
Lake View,61
Oakland,70
Avondale,246
Austin,100
Austin,250
Humboldt Park,60
Near West Side,
Bridgeport,50
Lincoln Park,99
Near West Side,
Near West Side,
West Town,
West Town,2643
Belmont Cragin,125
Lower West Side,145
Lower West Side,81
Near North Side,268
Hyde Park,98
Portage Park,125
Lincoln Park,245
Jefferson Park,118
Lincoln Park,292
Jefferson Park,65
Logan Square,72
Lake View,475
Near North Side,144
West Town,
Greater Grand Crossing,331
Austin,121
Near West Side,85
West Ridge,149
North Center,183
Edgewater,106
Near South Side,325
Edgewater,317
Near North Side,
Avondale,103
Dunning,117
Douglas,139
Logan Square,65
Near North Side,183
Near North Side,405
Near North Side,450
Near North Side,385
Morgan Park,140
South Shore,120
Near North Side,172
Near West Side,30
West Town,164
Greater Grand Crossing,70
Near North Side,404
Near North Side,421
Near West Side,
Grand Boulevard,
Lincoln Park,314
Near North Side,171
East Garfield Park,48
West Town,395
Irving Park,298
Irving Park,55
Loop,
Belmont Cragin,114
East Garfield Park,54
East Garfield Park,54
Lake View,189
Irving Park,46
South Shore,52
Lower West Side,65
Near West Side,35
North Park,404
Near West Side,38
Near West Side,28
Lincoln Park,157
Jefferson Park,118
Douglas,395
Kenwood,125
Logan Square,132
Uptown,327
Near West Side,217
Near West Side,214
East Garfield Park,177
West Town,98
Lincoln Square,147
Grand Boulevard,
West Town,110
Hyde Park,500
West Town,210
Near South Side,375
Near South Side,179
West Town,197
Near South Side,
North Lawndale,216
West Garfield Park,64
Loop,320
Lake View,214
West Ridge,135
Logan Square,49
Logan Square,59
Logan Square,52
Hyde Park,117
Loop,460
Bridgeport,116
Lincoln Park,99
North Center,550
Chatham,234
Grand Boulevard,249
Belmont Cragin,98
Grand Boulevard,199
Loop,249
South Shore,72
Belmont Cragin,21
Grand Boulevard,400
Near North Side,260
Albany Park,118
Lower West Side,212
Lake View,253
Lake View,201
Lake View,636
Uptown,374
Lower West Side,75
Rogers Park,45
Near West Side,75
Near West Side,266
Irving Park,131
Bridgeport,
South Chicago,250
Lower West Side,118
Grand Boulevard,200
Lincoln Park,82
Grand Boulevard,250
Bridgeport,66
Near North Side,271
South Shore,66
Dunning,171
Uptown,208
Edgewater,205
Near West Side,171
Lincoln Park,98
Bridgeport,167
Forest Glen,129
South Lawndale,94
West Town,530
Kenwood,94
West Town,400
North Lawndale,110
East Garfield Park,21
South Shore,286
Lower West Side,120
Near South Side,187
North Center,150
Near South Side,251
Belmont Cragin,28
Lincoln Square,244
Lake View,95
Rogers Park,
Near North Side,208
Lincoln Park,159
West Town,352
Lake View,169
Hyde Park,289
West Town,322
Avondale,148
Loop,313
Near West Side,70
West Town,89
Montclare,79
Austin,233
Logan Square,71
Rogers Park,76
Lincoln Square,223
Woodlawn,135
Uptown,69
West Ridge,235
Near North Side,245
West Town,196
Rogers Park,90
East Garfield Park,43
West Englewood,41
Near North Side,370
Near North Side,382
Near North Side,
Near North Side,405
Near South Side,209
Washington Park,104
Washington Heights,77
Near North Side,155
West Town,
Uptown,116
Uptown,120
Uptown,135
Near West Side,209
Jefferson Park,192
Rogers Park,116
Lincoln Park,590
West Town,89
Near North Side,190
Logan Square,900
Near West Side,213
Lake View,204
Loop,493
South Shore,35
West Town,350
South Lawndale,59
North Lawndale,66
South Lawndale,73
Near West Side,190
South Lawndale,61
Near North Side,135
East Garfield Park,43
Douglas,
Lower West Side,650
South Lawndale,66
Portage Park,86
Logan Square,153
West Town,119
East Garfield Park,39
Near South Side,483
Humboldt Park,40
Loop,243
Logan Square,162
Kenwood,119
Loop,257
Uptown,132
Lower West Side,
Rogers Park,90
Roseland,185
Logan Square,212
Irving Park,124
Lake View,500
Lake View,157
East Garfield Park,39
Logan Square,123
Lincoln Park,1076
West Town,186
Logan Square,312
Edgewater,126
Lincoln Park,141
Woodlawn,136
West Town,892
Near North Side,220
Grand Boulevard,157
Near West Side,354
Lincoln Park,109
Norwood Park,169
Lake View,444
South Shore,130
Avondale,106
Washington Heights,198
Gage Park,
Hyde Park,131
Rogers Park,353
South Chicago,259
Grand Boulevard,88
West Town,170
West Town,85
West Town,85
Logan Square,120
Lincoln Park,209
Lower West Side,69
Near North Side,395
Irving Park,113
Lower West Side,69
Washington Park,150
Near West Side,148
Irving Park,128
West Town,139
Lake View,217
West Town,174
Near North Side,111
Lower West Side,135
Avondale,109
West Town,220
Lincoln Park,177
Washington Heights,167
Lincoln Park,162
Lincoln Park,150
Near North Side,206
Logan Square,151
Auburn Gresham,326
Near North Side,190
West Town,88
Lake View,384
West Town,114
West Town,242
Armour Square,35
Armour Square,35
Armour Square,35
Albany Park,220
Near North Side,523
Near West Side,98
West Town,246
Near North Side,165
Bridgeport,232
Loop,436
Logan Square,151
Near North Side,400
Auburn Gresham,154
West Town,150
West Town,793
Austin,557
Near North Side,
West Town,263
West Town,205
Lake View,181
Loop,316
Near North Side,385
West Town,216
Armour Square,463
Near North Side,244
Lower West Side,126
Bridgeport,257
North Center,250
Avondale,121
Portage Park,
Humboldt Park,653
Lower West Side,586
Near South Side,196
Uptown,103
Lincoln Park,55
Lincoln Park,120
Lake View,106
Lincoln Park,346
North Center,129
Douglas,268
West Town,1851
Near West Side,39
Near West Side,42
Woodlawn,40
Grand Boulevard,140
West Town,1061
Grand Boulevard,550
South Shore,143
Logan Square,122
South Shore,169
Near West Side,169
West Town,
West Town,
West Town,
East Garfield Park,160
West Town,
West Town,287
Logan Square,156
Mckinley Park,37
Lake View,
Near North Side,772
Woodlawn,96
West Town,
West Town,
West Town,
Portage Park,123
Near West Side,
Near North Side,135
Uptown,112
Lincoln Park,399
North Park,129
Logan Square,121
Woodlawn,242
Lower West Side,255
Near North Side,275
Lower West Side,64
West Garfield Park,75
Albany Park,104
Lower West Side,69
Near West Side,120
Mckinley Park,200
Lower West Side,123
Irving Park,55
Near West Side,500
West Town,
Lake View,213
West Town,126
Near South Side,430
Lincoln Park,131
Near South Side,161
West Town,204
Austin,
Lower West Side,182
Beverly,57
Irving Park,151
Near North Side,279
Austin,221
Lincoln Square,103
West Town,325
Lake View,541
Near West Side,152
Logan Square,111
Rogers Park,79
Lake View,170
Lincoln Park,649
Logan Square,347
Near West Side,91
Near West Side,171
Near West Side,174
Near West Side,204
Near North Side,88
Rogers Park,104
Near West Side,179
Near South Side,
Near South Side,173
Near West Side,228
Mckinley Park,38
Near South Side,120
Near West Side,220
Near West Side,220
Near West Side,225
Edgewater,268
Bridgeport,257
North Lawndale,41
Greater Grand Crossing,269
Near West Side,245
Logan Square,104
Near West Side,245
Near West Side,50
East Garfield Park,143
Rogers Park,79
Near West Side,190
Near West Side,330
Near West Side,246
Greater Grand Crossing,150
Near North Side,175
West Town,358
Lake View,495
South Shore,199
South Shore,199
Near West Side,245
Logan Square,116
Near West Side,132
Grand Boulevard,261
Near West Side,262
Near North Side,269
Near North Side,
Lincoln Square,115
Near West Side,236
Near West Side,138
Near North Side,184
Near North Side,154
Lincoln Park,229
West Town,205
Greater Grand Crossing,114
Lincoln Park,528
Near West Side,125
Douglas,143
Avondale,129
Logan Square,160
Lincoln Square,135
Near North Side,225
Near North Side,189
Irving Park,184
Lower West Side,97
Woodlawn,325
Near North Side,240
Near North Side,179
Near North Side,179
Near North Side,519
Albany Park,111
Lake View,286
West Town,249
East Garfield Park,71
Norwood Park,117
Loop,446
Austin,274
Washington Park,73
Lake View,585
Woodlawn,204
Avondale,141
Avondale,484
Near North Side,233
Lake View,200
Uptown,181
Douglas,377
Near West Side,195
Lake View,999
Loop,265
Avondale,193
Near North Side,182
Near West Side,129
Irving Park,167
Logan Square,190
Kenwood,112
South Shore,34
Loop,401
Loop,255
East Side,76
Hermosa,129
Logan Square,513
South Shore,24
Near North Side,660
Near North Side,1018
Near West Side,117
Near North Side,706
Loop,75
Greater Grand Crossing,256
Lincoln Park,102
Jefferson Park,179
Ashburn,128
Grand Boulevard,219
Humboldt Park,101
Near North Side,378
Near West Side,357
West Ridge,100
Near North Side,276
Lincoln Park,118
Lake View,228
West Town,206
North Center,190
Lincoln Square,363
Near North Side,275
Loop,200
Near West Side,261
Edgewater,350
Logan Square,199
Avondale,101
Near South Side,194
East Garfield Park,48
Lincoln Park,192
Lincoln Park,208
Lincoln Park,293
Lincoln Park,119
Edgewater,192
Roseland,185
Logan Square,194
Douglas,400
Logan Square,137
Beverly,93
East Side,41
Irving Park,170
Lake View,586
Lincoln Park,195
Near North Side,254
Loop,531
Near North Side,361
Near South Side,268
West Town,59
Edgewater,114
Near North Side,502
Avondale,199
Lake View,389
West Ridge,20
West Town,376
Hyde Park,136
Near North Side,403
West Town,186
Near North Side,432
Lincoln Park,195
Auburn Gresham,130
Irving Park,111
Near North Side,446
Near North Side,409
West Town,170
Near North Side,255
Logan Square,165
West Englewood,25
Mckinley Park,128
West Ridge,111
West Town,183
Loop,306
Bridgeport,37
Near North Side,264
Near North Side,192
West Town,154
Loop,332
Loop,446
Near South Side,426
Loop,208
Armour Square,200
West Town,135
Lincoln Park,304
Beverly,203
Lake View,98
West Town,120
Near South Side,266
Near South Side,208
Near South Side,365
Near West Side,369
Near South Side,206
Loop,363
Near South Side,282
Near North Side,189
Near North Side,175
Near North Side,246
Near North Side,187
Near South Side,189
Lake View,187
West Town,155
Englewood,150
Albany Park,194
Lake View,227
Loop,163
Irving Park,201
Loop,327
Near South Side,282
Loop,264
Loop,427
Loop,693
Near West Side,450
Loop,336
Loop,262
Bridgeport,239
Lower West Side,119
East Side,134
West Town,343
Grand Boulevard,241
Near West Side,135
Lower West Side,115
Near North Side,159
Loop,162
Lower West Side,258
Loop,387
Loop,329
Lake View,58
Loop,399
Loop,196
West Town,441
North Lawndale,89
South Shore,289
South Lawndale,106
Near North Side,176
Near North Side,176
Near North Side,171
Uptown,124
Uptown,120
Uptown,114
South Shore,178
Lower West Side,45
Near West Side,679
Greater Grand Crossing,46
West Town,171
Lake View,153
Uptown,65
Bridgeport,253
North Center,156
Logan Square,388
Irving Park,70
Edgewater,253
Logan Square,191
Humboldt Park,237
Loop,179
Lincoln Park,181
East Garfield Park,184
Bridgeport,213
Near South Side,
Austin,122
Bridgeport,35
Greater Grand Crossing,48
Bridgeport,175
North Center,358
Near North Side,155
Near North Side,155
West Town,513
West Ridge,191
Rogers Park,195
Bridgeport,
Bridgeport,70
Greater Grand Crossing,200
Lake View,57
Logan Square,273
Irving Park,141
Lincoln Square,188
South Shore,127
North Center,120
Portage Park,135
Irving Park,366
Near West Side,211
Lower West Side,428
Hyde Park,110
Near West Side,559
Woodlawn,45
Bridgeport,39
West Town,152
Belmont Cragin,104
Austin,109
Edgewater,51
Lower West Side,60
Chatham,65
Loop,238
Lake View,201
Near North Side,169
Lake View,258
West Town,195
Uptown,198
Lincoln Square,191
Near North Side,133
Humboldt Park,397
West Town,881
Near West Side,228
West Town,40
West Town,345
Lincoln Park,87
